Name,Date,Entry
Polly,Haha,I am Polly!
RoseRed,12/04/2024,I am rosered
RoseRed,12/04/2024,I want to add a new journal!
Cindy,12/04/2024,I really like this new app and its features!
Polly,12/04/2024,I like it!
Polly,12/04/2024,Hello world
Susan,12/04/2024,Please
Susan,12/04/2024,0
Susan,12/04/2024,Hello
"/usr/local/bin/python3 ""/Users/cindywang/Documents/NEU-Align MSCS/CS5001/Final Project/FinalProjectTemplate/src/test_due_date_calculator.py""",12/04/2024,7
S,12/04/2024,PP
Susan,12/04/2024,I
Iceland,12/05/2024,Nice!
Yes,12/05/2024,Yes
Yes,12/05/2024,I love it!
Live,12/05/2024,Please
Polly,12/05/2024,add
UU,12/05/2024,YY
